league_id,league_name,league_type,country
882,Olympics Women - Qualification Asia,Cup,World
885,Campeones Cup,Cup,World
851,Carioca A2,League,Brazil
852,Super Cup,Cup,Cyprus
853,Supercopa de Ecuador,Cup,Ecuador
854,WE League,League,Japan
855,Dhivehi Premier League,League,Maldives
856,CONCACAF Caribbean Club Championship,Cup,World
857,Campeón de Campeones,Cup,Mexico
858,CONCACAF Gold Cup - Qualification,Cup,World
859,COSAFA Cup,Cup,World
860,Arab Cup,Cup,World
861,U20 League,League,Mexico
862,3. Division,League,Denmark
864,Supercopa,Cup,Costa-Rica
865,Liga 3,League,Portugal
866,MLS All-Star,Cup,USA
891,Coppa Italia Serie C,Cup,Italy
868,Premier League,League,Pakistan
869,CECAFA Club Cup,Cup,World
870,Premier League,League,Crimea
871,Premier League Cup,Cup,England
872,Liga Premier Serie B,League,Mexico
873,Thai Champions Cup,Cup,Thailand
874,Australia Cup,Cup,Australia
875,Segunda División RFEF - Group 1,League,Spain
876,Segunda División RFEF - Group 2,League,Spain
877,Segunda División RFEF - Group 3,League,Spain
878,Segunda División RFEF - Group 4,League,Spain
879,Segunda División RFEF - Group 5,League,Spain
880,World Cup - Women - Qualification Europe,Cup,World
883,Reserve League,League,Netherlands
884,Super Cup,Cup,San-Marino
887,Second League,League,Egypt
888,Second League - Group B,League,Egypt
889,Second League - Group C,League,Egypt
890,U20 Elite League,Cup,World
892,Coppa Italia Serie D,Cup,Italy
867,Copa Paulino Alcantara,League,Philippines
895,League Cup,Cup,Egypt
896,Super Cup,Cup,United-Arab-Emirates
898,League Cup,Cup,Thailand
902,Algarve Cup,Cup,World
903,The Atlantic Cup,Cup,World
905,Super Cup,Cup,Iran
910,Youth Viareggio Cup,Cup,World
36,Africa Cup of Nations - Qualification,Cup,World
725,Toppserien,League,Norway
736,Elitettan,League,Sweden
743,UEFA Championship - Women,Cup,World
812,Super Cup,Cup,Belarus
814,Reykjavik Cup,Cup,Iceland
815,Fotbolti.net Cup A,Cup,Iceland
818,Super Cup,Cup,Kazakhstan
823,Nasjonal U19 Champions League,Cup,Norway
824,Emir Cup,Cup,Qatar
825,Qatar Cup,Cup,Qatar
826,Super Cup,Cup,Saudi-Arabia
831,Super Cup,Cup,Vietnam
833,Queensland Premier League,League,Australia
834,South Australia State League 1,League,Australia
835,New South Wales NPL 2,League,Australia
836,Victoria NPL 2,League,Australia
839,Super Cup,Cup,Lithuania
842,Super Copa,Cup,Uruguay
846,Somali Premier League,League,Somalia
848,UEFA Europa Conference League,Cup,World
893,UEFA U19 Championship - Qualification,Cup,World
894,Asian Cup Women - Qualification,Cup,World
897,Asian Cup Women,Cup,World
899,League Cup,Cup,Finland
900,Tipsport Malta Cup,Cup,World
901,Ykköscup,Cup,Finland
904,SheBelieves Cup,Cup,World
906,Reserve League,League,Argentina
907,Primera Division,League,Cuba
908,ASEAN Championship U23,Cup,World
909,MLS Next Pro,League,USA
911,Southeast Asian Games,Cup,World
912,CONCACAF Women U17,Cup,World
913,CONMEBOL - UEFA Finalissima,Cup,World
914,Tournoi Maurice Revello,Cup,World
915,1. Division Women,League,Norway
916,Kirin Cup,Cup,World
917,Copa Ecuador,Cup,Ecuador
918,UEFA U19 Championship - Women,Cup,World
919,Mediterranean Games,Cup,World
920,World Cup - U20 - Women,Cup,World
921,UEFA U17 Championship,Cup,World
922,Africa Cup of Nations - Women,Cup,World
923,League 1 Ontario,League,Canada
924,Piala Presiden,Cup,Indonesia
926,Copa America Femenina,Cup,World
927,World Cup - Women - Qualification Concacaf,Cup,World
928,ASEAN Championship U19,Cup,World
929,League Two,League,China
930,Copa Uruguay,Cup,Uruguay
886,UEFA U17 Championship - Qualification,Cup,World
961,Supercopa,Cup,Paraguay
962,Premier League,League,Lesotho
966,Cup,Cup,Ghana
967,Cup,Cup,Lebanon
968,Championnat D1,League,Gabon
971,Shield Cup,Cup,Kenya
975,Serie C - Relegation - Play-offs,League,Italy
976,Serie C - Promotion - Play-offs,League,Italy
974,Serie C - Supercoppa Lega Finals,League,Italy
977,Tercera División RFEF - Promotion - Play-offs,League,Spain
978,2nd Division - Play-offs,League,Albania
979,Provincial - Play-offs VV,League,Belgium
980,Provincial - Play-offs ACFF,League,Belgium
981,Third Amateur Division - Play-offs,League,Belgium
982,Denmark Series - Promotion Round,League,Denmark
983,Denmark Series - Relegation Round,League,Denmark
984,National League - North - Play-offs,League,England
985,National League - South - Play-offs,League,England
986,Non League Div One - Play-offs,League,England
987,U18 Premier League - Championship,League,England
988,Oberliga - Promotion Round,League,Germany
989,Oberliga - Relegation Round,League,Germany
990,Gamma Ethniki - Promotion Group,League,Greece
991,Campeonato de Portugal Prio - Promotion Round,League,Portugal
992,Football League - Championship,League,Scotland
993,Non League Premier - Isthmian - Play-offs,League,England
994,Non League Premier - Northern - Play-offs,League,England
995,Non League Premier - Southern South - Play-offs,League,England
996,Non League Premier - Southern Central - Play-offs,League,England
997,Serie D - Promotion - Play-offs,League,Italy
998,Serie D - Relegation - Play-offs,League,Italy
999,Serie D - Championship Round,League,Italy
1000,Segunda División RFEF - Play-offs,League,Spain
1002,Regionalliga - Promotion Play-offs,League,Germany
1003,Regionalliga - Relegation Round,League,Germany
1004,Derde Divisie - Relegation Round,League,Netherlands
1005,1. Liga Classic - Play-offs,League,Switzerland
1006,Primera División RFEF - Play Offs,League,Spain
1007,3. Lig - Play-offs,League,Turkey
1009,Liga III - Play-offs,League,Romania
1010,3. liga - Promotion Play-off,League,Czech-Republic
1011,Second Amateur Division - Play-offs ,League,Belgium
1014,Second League - Play-offs,League,Egypt
1016,CAC Games,Cup,World
931,Non League Premier - Southern Central,League,England
932,Non League Div One - Northern East,League,England
933,Non League Div One - Southern Central,League,England
934,Arab Championship - U20,Cup,World
935,Diski Shield,Cup,South-Africa
936,Catarinense - 2,League,Brazil
937,Emirates Cup,Cup,World
938,Oberliga - Bayern Nord,League,Germany
939,Oberliga - Bayern Süd,League,Germany
940,COTIF Tournament,Cup,World
941,Islamic Solidarity Games,Cup,World
944,Super Cup,Cup,Oman
945,International Champions Cup - Women,Cup,World
946,Second NL,League,Croatia
947,DFB Pokal - Women,Cup,Germany
948,1a Divisão - Women,League,Portugal
949,CONMEBOL Libertadores Femenina,Cup,World
950,World Cup - U17 - Women,Cup,World
951,South American Youth Games,Cup,World
952,AFC U23 Asian Cup - Qualification,Cup,World
953,Africa U23 Cup of Nations - Qualification,Cup,World
954,National League - Central,League,New-Zealand
955,National League - National,League,New-Zealand
956,National League - Northern,League,New-Zealand
957,National League - Southern,League,New-Zealand
958,Copa Costa Rica,Cup,Costa-Rica
959,Cup,Cup,Singapore
960,Euro Championship - Qualification,Cup,World
963,CONCACAF U17,Cup,World
964,Copa de la División Profesional,Cup,Bolivia
965,AFC U20 Asian Cup,Cup,World
969,Primeira Divisão,League,Macao
970,CONMEBOL - U17,Cup,World
972,Super Cup,Cup,China
973,CAF Cup of Nations - U17,Cup,World
1008,CAFA Nations Cup,Cup,World
1012,AFC U17 Asian Cup,Cup,World
1013,All-Island Cup - Women,Cup,World
1015,CAF U23 Cup of Nations,Cup,World
1017,U23 League,League,Mexico
1018,Federation Cup,Cup,Lebanon
1019,Charity Shield,Cup,Northern-Ireland
1020,Calcutta Premier Division,League,India
1021,Super Cup,Cup,Croatia
1022,Premier League - Summer Series,League,England
1023,NB III - Southeast,League,Hungary
1024,UEFA - CONMEBOL - Club Challenge,Cup,World
1025,Second League A - Division A Gold,League,Russia
1026,Second League A - Division A Silver,League,Russia
1027,3. Lig - Group 4,League,Turkey
1028,Concacaf Central American Cup,Cup,World
1029,National 3 - Group G,League,France
1030,Goiano - 2,League,Brazil
1031,Premier League,League,Bhutan
1032,Copa de la Liga Profesional,League,Argentina
1033,Ekstraliga Women,League,Poland
1034,2. Frauen Bundesliga,League,Germany
1035,Copa Rio,Cup,Brazil
1036,Copa Santa Catarina,Cup,Brazil
1037,Paraibano 2,League,Brazil
1038,King's Cup,Cup,World
1039,Premier League International Cup,Cup,World
1040,UEFA Nations League - Women,Cup,World
1041,Júniores U19,League,Portugal
1042,Super Cup,Cup,Gibraltar
1043,African Football League,Cup,World
1044,Erste Liga Cup,Cup,Switzerland
1045,Pan American Games,Cup,World
1048,Premier Division,League,Antigua-And-Barbuda
1049,King's Cup,Cup,Bahrain
1050,Super Cup,Cup,Malta
1052,Kakkonen - Play-offs,League,Finland
1053,Division 2 - Play-offs,League,Sweden
1054,2. Division - Play-offs,League,Norway
1055,Ettan - Relegation Round,League,Sweden
1056,National League - Championship - Final,League,New-Zealand
1058,Supercopa Femenina,Cup,Spain
1061,Second League A - Spring Season Gold,League,Russia
1064,Second League A - Spring Season Silver,League,Russia
1065,U19 League,League,Ukraine
1068,FA Youth Cup,Cup,England
1072,All Africa Games,Cup,World
1074,SWPL Cup,Cup,Scotland
1078,SWF Scottish Cup,Cup,Scotland
1079,Yemeni League,League,Yemen
1080,Premier Division,League,Grenada
1084,Championnat National,League,Togo
1099,Gamma Ethniki - Relegation Play-offs,League,Greece
1109,Super Cup,Cup,Bahrain
1111,NB III - Promotion Play-offs,League,Hungary
1121,Second League A - Promotion Play-offs,League,Russia
850,UEFA U21 Championship - Qualification,Cup,World
1060,CONMEBOL - Pre-Olympic Tournament,Cup,World
1062,Paulista - A4,League,Brazil
1063,Copa Alagoas,Cup,Brazil
1066,CONCACAF U20 - Qualification,Cup,World
1067,Torneo Promocional Amateur,League,Argentina
1069,Goiano U20,League,Brazil
1070,AFC U20 Asian Cup - Women,Cup,World
1071,Paranaense U20,League,Brazil
1073,Baiano U20,League,Brazil
1075,Pro League A,League,Uzbekistan
1076,Catarinense U20,League,Brazil
1077,WAFF Championship U23,Cup,World
1081,CONMEBOL - U17 Femenino,Cup,World
1082,Copa Rio U20,Cup,Brazil
1085,CONMEBOL U20 Femenino,Cup,World
1086,Paulista - U20,League,Brazil
1087,Ykkösliiga,League,Finland
1088,Pernambucano - U20,League,Brazil
1089,UAE-Qatar - Super Shield,Cup,World
1090,NNSW League 1,League,Australia
1091,Tasmania Northern Championship,League,Australia
1092,Capital Territory NPL 2,League,Australia
1093,Tasmania Southern Championship,League,Australia
1094,Western Australia State League 1,League,Australia
1095,USL League One Cup,League,USA
1096,Matogrossense 2,League,Brazil
1097,Copa Espírito Santo,Cup,Brazil
1098,Paulista Série B,League,Brazil
1100,Brasiliense U20,League,Brazil
1101,AFC U17 Asian Cup - Women,Cup,World
1102,UEFA U17 Championship - Women,Cup,World
1103,Premiership Women,League,Northern-Ireland
1104,Liga 3,League,Georgia
1105,Olympics - Intercontinental Play-offs,Cup,World
1106,Carioca C,League,Brazil
1107,Mineiro U20,League,Brazil
1108,Sergipano U20,League,Brazil
1110,Alagoano U20,League,Brazil
1112,Cearense U20,League,Brazil
1113,Copa Venezuela,Cup,Venezuela
1114,Carioca U20,League,Brazil
1115,Paraense A3,League,Brazil
1116,WPSL,League,USA
1117,USL W League,League,USA
1118,NPSL,League,USA
1119,NWSL - Liga MXF Summer Cup,League,USA
1120,Paraibano U20,League,Brazil
1122,OFC U19 Championship,Cup,World
1123,Qatar-UAE Super Cup,Cup,World
1124,Cearense - 3,League,Brazil
1125,Pernambucano - 2,League,Brazil
1126,Esiliiga B,League,Estonia
1127,Chatham Cup,Cup,New-Zealand
1001,CONCACAF Women U20,Cup,World
1190,Super Cup Women,Cup,Netherlands
1046,CONCACAF Gold Cup - Qualification - Women,Cup,World
1047,Olympics Women - Qualification CAF,Cup,World
1051,HKPL Cup,Cup,Hong-Kong
1057,CONCACAF Gold Cup - Women,Cup,World
1059,Recopa Catarinense,Cup,Brazil
1170,MFL Cup,Cup,Malaysia
1171,Coppa Italia Women,Cup,Italy
1173,Challenge Cup,Cup,Malta
1174,Hun Sen Cup,Cup,Cambodia
1178,Super Copa International,Cup,Argentina
1128,Brasileiro U17,League,Brazil
1129,ASEAN Club Championship,Cup,World
1130,USL Super League,League,USA
1131,Super Cup,League,Mongolia
1132,AFC Challenge League,Cup,World
1133,Goiano - 3,League,Brazil
1134,Amazonense - 2,League,Brazil
1135,Sergipano - 2,League,Brazil
1136,CONCACAF W Champions Cup,Cup,World
1137,Supercup der Frauen,League,Germany
1138,Paranaense - 3,League,Brazil
1139,Potiguar - U20,League,Brazil
1140,AFC Women's Champions League,Cup,World
1141,Brasiliense B,League,Brazil
1142,Mineiro - 3,League,Brazil
1143,Estadual Junior U20,League,Brazil
1144,Super Cup,Cup,Ghana
1168,FIFA Intercontinental Cup,Cup,World
1145,Paraense B1,League,Brazil
1146,Alagoano - 2,Cup,Brazil
1148,Maranhense - 2,League,Brazil
1149,Potiguar - 2,League,Brazil
1150,Gaúcho - 3,League,Brazil
1151,Pernambucano - 3,League,Brazil
1152,U19 Divisie 1,League,Netherlands
1153,AFC U20 Asian Cup - Qualification,Cup,World
1154,Catarinense - 3,League,Brazil
1155,Carioca B2,League,Brazil
1156,National League Cup,Cup,England
1157,Paraense U20,League,Brazil
1158,Copa Gaúcha,Cup,Brazil
1159,CECAFA U20 Championship,Cup,World
1160,Sapling Cup,Cup,Hong-Kong
1161,AFC U17 Asian Cup - Qualification,Cup,World
1162,AGCFF Gulf Champions League,Cup,World
1163,African Nations Championship - Qualification,Cup,World
1164,CAF Women's Champions League,Cup,World
1165,Copa Fares Lopes,Cup,Brazil
1166,Super Cup,Cup,Cameroon
1167,Recopa,Cup,Costa-Rica
1147,Capixaba B,League,Brazil
1169,EAFF E-1 Football Championship - Qualification,Cup,World
1083,UEFA Championship - Women - Qualification,Cup,World
1218,Pro League U23,League,United-Arab-Emirates
1180,Copa LDF,Cup,Dominican-Republic
1172,Torneo Amistoso de Verano,Cup,Bolivia
1175,Women's President's Cup,Cup,Ireland
1176,Super Cup,Cup,Latvia
1177,Super Cup,Cup,Faroe-Islands
1179,Copa do Brasil U17,Cup,Brazil
1181,Supercopa,Cup,Venezuela
1182,Northern Super League,League,Canada
1183,Brasileiro U20 B,Cup,Brazil
1184,Copa Grão Pará,Cup,Brazil
1185,3. liga - Play-offs,League,Slovakia
1186,FIFA Club World Cup - Play-In,Cup,World
1187,Copa Nicaragua,Cup,Nicaragua
1188,EAFF E-1 Football Championship - Women,Cup,World
1189,Asean Championship Women,Cup,World
1191,UEFA Europa Cup - Women,Cup,World
1192,Super Cup,Cup,Angola
1193,Super Cup,Cup,Kenya
1194,Super Cup,Cup,Tunisia
1195,Liga E Pare,League,Kosovo
1196,Division One League,League,Ghana
1197,FA Cup,Cup,Oman
1198,Serie A Cup Women,Cup,Italy
1199,League Cup,Cup,Hong-Kong
1200,Liga MX U21,League,Mexico
1201,IFA Shield,Cup,India
1202,Australian Championship,Cup,Australia
1203,Piauiense - 2,League,Brazil
1204,Rondoniense - 2,League,Brazil
1205,Kings Cup,Cup,Brazil
1206,CONMEBOL Nations League Women,Cup,World
1207,CONCACAF Series,Cup,World
1208,Arabian Gulf Cup U23,Cup,World
1209,Guangdong - Hong Kong Cup,Cup,Hong-Kong
1210,Super Cup,Cup,Greece
1211,Tipsport Liga,League,Czech-Republic
1212,Copa De La Liga Auf,Cup,Uruguay
1213,Kings World Cup Nations,Cup,World
1214,Ofc Pro League,Cup,World
1215,Obos Supercup,Cup,Norway
1216,Serie Rio De La Plata,Cup,World
1217,Fifa Women Champions Cup,Cup,World
